event.deviceEventClassId,set.event.categoryObject,set.event.categoryBehavior,set.event.categoryTechnique,set.event.categoryDeviceGroup,set.event.categorySignificance,set.event.categoryOutcome,set.event.originator
56010003,/Host/Application/License,/Check/Configuration,,/Network Equipment,/Informational/Error,/Failure,Source
56010004,/Host/Application/License,/Check/Configuration,,/Network Equipment,/Informational/Error,/Failure,Source
56010005,/Host/Application/License,/Check/Configuration,,/Network Equipment,/Informational,/Success,Source
56020001,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
56020002,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
56020003,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
56020004,/Host/Application/License,/Check/Configuration,,/Network Equipment,/Informational,/Success,Source
56020005,/Network,/Execute/Query,,/Network Equipment,/Informational/Error,/Failure,Source
56020006,/Network,/Execute/Query,,/Network Equipment,/Informational,/Failure,Source
56030001,/Network,/Execute/Query,,/Network Equipment,/Informational/Error,/Failure,Source
56040001,/Network,/Execute/Query,,/Network Equipment,/Informational/Error,/Failure,Source
56040002,/Network,/Execute/Query,,/Network Equipment,/Informational/Error,/Failure,Source
58000001,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
61000002,/Network,/Access/Start,,/Network Equipment,/Informational/Warning,/Failure,Source
61000003,/Network,/Execute/Query,,/Network Equipment,/Informational/Warning,/Failure,Source
61000004,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
61000005,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
61000006,/Network,/Execute/Query,,/Network Equipment,/Informational/Warning,/Failure,Source
61000007,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
61000008,/Network,/Modify/Attribute,,/Network Equipment,/Informational,/Success,Source
61000009,/Network,/Modify/Attribute,,/Network Equipment,/Informational,/Success,Source
61000010,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
61000012,/Network,/Execute/Query,,/Network Equipment,/Informational/Warning,/Failure,Source
61000013,/Network,/Check,,/Network Equipment,/Informational,/Success,Source
68000001,/Network,/Check/Security,,/Network Equipment,/Informational,/Success,Source
68000002,/Network,/Check/Security,,/Network Equipment,/Informational,/Success,Source
68000003,/Network,/Check/Security,,/Network Equipment,/Informational,/Success,Source
70000001,/Host/Application/License,/Check/Configuration,,/Firewall,/Informational/Error,/Failure,Source
70000002,/Host/Application/License,/Check/Configuration,,/Firewall,/Informational/Warning,/Failure,Source
70010000,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
70010001,/Network,/Authentication/Verify,,/Firewall,/Informational,/Success,Source
70010002,/Network,/Authentication/Verify,,/Firewall,/Informational,/Success,Source
70010003,/Network,/Access/Stop,,/Firewall,/Informational,/Success,Source
70010004,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
70010005,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
70010006,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
70010007,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
70010008,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
70010009,/Network,/Access/Start,,/Firewall,/Informational,/Success,Source
70020000,/Network,/Authorization/Verify,,/Firewall,/Informational,/Success,Source
76000000,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
0203000A,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
0203000B,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
0203000C,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
0203000D,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
0203000E,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
0203000F,/Network,/Authorization/Verify,,/VPN,/Informational,/Success,Source
0203002A,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
0203002B,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
0205000A,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
0205000B,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
0205000C,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
0205000D,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
0205000E,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
0205000F,/Network,/Execute/Query,,/VPN,/Informational/Warning,/Failure,Source
020B0001,/Network,/Modify/Attribute,,/VPN,/Informational,/Success,Source
021A0001,/Network,/Access/Stop,,/VPN,/Informational/Error,/Failure,Source
021A0002,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
021A0003,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
021A0004,/Network,/Authorization/Verify,,/VPN,/Informational,/Success,Source
021A0005,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A0006,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
021A0007,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
021A0008,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
021A0009,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A000A,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
021A000B,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A000C,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A000D,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
021A000E,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A000E,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A000F,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A0010,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A0011,/Network,/Communicate,,/VPN,/Informational/Error,/Failure,Source
021A0012,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A0013,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
021A0014,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A0015,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
021A0016,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
021A0017,/Network,/Authorization/Verify,,/VPN,/Informational,/Success,Source
021A0018,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A0019,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A001A,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A001B,/Network,/Execute/Query,,/VPN,/Informational/Error,/Failure,Source
021A001C,/Network,/Authorization/Verify,,/VPN,/Informational,/Success,Source
021A001D,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A001E,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
021A001F,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
021A0020,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
0900000A,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
0F000001,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
0F010015,/Network,/Check/Security,/Exploit,/Firewall,/Suspicious,/Success,Source
0F010016,/Network,/Check/Security,,/Firewall,/Informational,/Success,Source
1100000C,/Network,/Authentication/Verify,,/Firewall,/Informational/Warning,/Failure,Source
1100000D,/Network,/Communicate/Response,,/Firewall,/Informational/Warning,/Failure,Source
1100000E,/Network,/Execute/Query,,/Firewall,/Informational/Warning,/Failure,Source
1100000F,/Network,/Execute/Query,,/Firewall,/Informational/Warning,/Failure,Source
1AFF0001,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
1AFF0002,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
1AFF0003,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
1AFF0004,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
1AFF0005,/Network,/Communicate/Query,,/Firewall,/Informational,/Failure,Source
1AFF0006,/Network,/Communicate/Query,,/Firewall,/Informational,/Failure,Source
1AFF0007,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
1AFF0008,/Network,/Execute/Query,/Traffic Anomaly/Network Layer,/Firewall,/Informational,/Failure,Source
1AFF0009,/Network,/Execute/Query,/Traffic Anomaly/Network Layer,/Firewall,/Informational,/Failure,Source
1AFF000A,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1AFF000B,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1AFF000C,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
1AFF000D,/Network,/Communicate/Query,,/Firewall,/Informational,/Failure,Source
1AFF000E,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
1AFF000F,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
1AFF0010,/Network,/Execute/Query,/Traffic Anomaly/Network Layer,/Firewall,/Informational,/Failure,Source
1AFF0011,/Network,/Execute/Query,/Traffic Anomaly/Network Layer,/Firewall,/Informational,/Failure,Source
1AFF0012,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1AFF0013,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1AFF0016,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1AFF0018,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1AFF0019,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1AFF001A,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1AFF001B,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1AFF001C,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1AFF001D,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1AFF001E,/Network,/Authorization/Verify,,/Firewall,/Informational,/Success,Source
1AFF001F,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1AFF0020,/Network,/Access/Start,,/Firewall,/Informational,/Failure,Source
1AFF0021,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
